nickname,region,tier,lp,wins,top4,champ_1,games_champ_1,champ_2,games_champ_2,champ_3,games_champ_3,champ_4,games_champ_4,champ_5,games_champ_5
summertimer#JP1,jp,,1911 LP,7,15,엘리스,14.0,암베사,9.0,일라오이,8.0,누누와 윌럼프,8.0,르블랑,6.0
just feel alive#JP1,jp,,1842 LP,7,15,에코,9.0,엘리스,9.0,세비카,6.0,럼블,6.0,제리,5.0
やつはし#JP1,jp,,1710 LP,4,12,일라오이,10.0,럼블,9.0,제이스,7.0,이렐리아,7.0,코르키,6.0
fandel#kahn,jp,,1579 LP,5,18,럼블,11.0,누누와 윌럼프,10.0,신지드,9.0,렐,9.0,레나타 글라스크,9.0
エレミーオの櫛#mori,jp,,1529 LP,5,12,엘리스,12.0,문도 박사,7.0,누누와 윌럼프,7.0,빅토르,6.0,에코,6.0
たろうのTFT大学#ゆにば,jp,,1475 LP,3,11,에코,8.0,트리스타나,7.0,누누와 윌럼프,7.0,갱플랭크,7.0,엘리스,7.0
ぬこ丸#JP1,jp,,1470 LP,6,13,엘리스,9.0,럼블,8.0,르블랑,7.0,렐,7.0,암베사,6.0
HiROKK#0119,jp,,1464 LP,6,13,엘리스,11.0,럼블,9.0,코르키,8.0,에코,8.0,갱플랭크,8.0
Subi#Smoge,jp,,1445 LP,4,17,엘리스,12.0,누누와 윌럼프,9.0,바이,7.0,문도 박사,7.0,제이스,6.0
ティエルノ#JP1,jp,,1432 LP,2,16,갱플랭크,13.0,에코,12.0,엘리스,11.0,럼블,11.0,파우더,9.0
chocotomato#JP1,jp,,1424 LP,8,14,엘리스,8.0,바이,8.0,일라오이,7.0,르블랑,6.0,럼블,6.0
trueskill#JP1,jp,,1408 LP,6,16,럼블,12.0,갱플랭크,11.0,트리스타나,10.0,엘리스,10.0,코르키,9.0
tarakoman#0120,jp,,1397 LP,5,10,엘리스,15.0,트리스타나,7.0,코르키,6.0,누누와 윌럼프,6.0,암베사,5.0
夢見るマンチコア#JP1,jp,,1395 LP,2,11,렐,11.0,누누와 윌럼프,11.0,엘리스,10.0,하이머딩거,9.0,모르가나,9.0
きじちゃん#TFT,jp,,1392 LP,10,18,엘리스,12.0,자이라,11.0,스웨인,9.0,블라디미르,9.0,나미,8.0
mirumirun#JP1,jp,,1391 LP,3,12,엘리스,10.0,로리스,9.0,케이틀린,8.0,럼블,8.0,에코,7.0
